;mack;date_publish;price_adjustment;price_closing;rate_of_change;gdkl_kl;gdkl_gt;gdtt_kl;gdtt_gt;price_open;price_highest;price_lowest
1;CMX;2020-12-31;14.23;17.90;1.15 (6.87 %);2.664.790;46907000000;0;0;16.80;17.90;16.80
2;CMX;2021-01-04;14.43;18.15;0.25 (1.40 %);761.8;13818000000;0;0;18.30;18.40;17.90
3;CMX;2021-01-05;14.95;18.80;0.65 (3.58 %);1.077.100;19823000000;0;0;18.30;19.00;17.90
4;CMX;2021-01-06;14.51;18.25;-0.55 (-2.93 %);1.008.200;18649000000;0;0;18.80;18.95;18.20
5;CMX;2021-01-07;15.18;19.10;0.85 (4.66 %);1.102.200;20469000000;0;0;18.30;19.10;18.10
6;CMX;2021-01-08;14.87;18.70;-0.40 (-2.09 %);783.2;15000000000;0;0;19.20;19.60;18.40
7;CMX;2021-01-11;14.95;18.80;0.10 (0.53 %);546.9;10169000000;0;0;18.70;19.00;18.35
8;CMX;2021-01-12;15.30;19.25;0.45 (2.39 %);822.4;15613000000;0;0;18.80;19.30;18.50
9;CMX;2021-01-13;15.26;19.20;-0.05 (-0.26 %);1.093.600;21505000000;0;0;19.40;20.00;18.90
10;CMX;2021-01-14;15.26;19.20;0.00 (0.00 %);560.9;10767000000;0;0;19.30;19.60;19.00
11;CMX;2021-01-15;15.03;18.90;-0.30 (-1.56 %);786.3;14930000000;0;0;19.25;19.30;18.70
12;CMX;2021-01-18;14.71;18.50;-0.40 (-2.12 %);858.4;15998000000;0;0;18.60;18.90;18.45
13;CMX;2021-01-19;13.71;17.25;-1.25 (-6.76 %);863.9;15456000000;0;0;18.40;18.70;17.25
14;CMX;2021-01-20;13.12;16.50;-0.75 (-4.35 %);734.6;12058000000;0;0;16.95;17.15;16.05
15;CMX;2021-01-21;13.83;17.40;0.90 (5.45 %);427.2;7207000000;0;0;17.00;17.50;16.45
16;CMX;2021-01-22;13.48;16.95;-0.45 (-2.59 %);518.9;8882000000;0;0;17.10;17.35;16.90
17;CMX;2021-01-25;13.44;16.90;-0.05 (-0.29 %);477;7943000000;0;0;16.70;16.95;16.40
18;CMX;2021-01-26;12.88;16.20;-0.70 (-4.14 %);355.6;5785000000;0;0;16.70;16.90;15.85
19;CMX;2021-01-27;12.12;15.25;-0.95 (-5.86 %);608.8;9439000000;0;0;15.90;16.10;15.10
20;CMX;2021-01-28;11.29;14.20;-1.05 (-6.89 %);538.5;7654000000;0;0;14.20;14.50;14.20
21;CMX;2021-01-29;11.77;14.80;0.60 (4.23 %);366.7;5150000000;0;0;13.25;14.90;13.25
22;CMX;2021-02-01;11.25;14.15;-0.65 (-4.39 %);275.9;3957000000;0;0;14.80;14.80;14.10
23;CMX;2021-02-02;11.37;14.30;0.15 (1.06 %);205.9;2907000000;0;0;14.05;14.30;13.90
24;CMX;2021-02-03;11.96;15.05;0.75 (5.24 %);233.2;3419000000;0;0;14.35;15.05;14.35
25;CMX;2021-02-04;11.89;14.95;-0.10 (-0.66 %);370.2;5498000000;0;0;15.10;15.10;14.70
26;CMX;2021-02-05;11.93;15.00;0.05 (0.33 %);182.2;2717000000;0;0;14.95;15.05;14.80
27;CMX;2021-02-08;11.13;14.00;-1.00 (-6.67 %);257.2;3778000000;0;0;15.00;15.10;14.00
28;CMX;2021-02-09;11.53;14.50;0.50 (3.57 %);167;2398000000;0;0;14.30;14.60;14.10
29;CMX;2021-02-17;12.20;15.35;0.85 (5.86 %);198.4;2976000000;0;0;14.85;15.40;14.80
30;CMX;2021-02-18;12.24;15.40;0.05 (0.33 %);297.3;4559000000;0;0;15.35;15.50;15.25
31;CMX;2021-02-19;12.44;15.65;0.25 (1.62 %);282.5;4389000000;0;0;15.40;15.80;15.10
32;CMX;2021-02-22;12.40;15.60;-0.05 (-0.32 %);185.7;2912000000;0;0;15.65;15.85;15.60
33;CMX;2021-02-23;12.40;15.60;0.00 (0.00 %);241.4;3750000000;0;0;15.60;15.70;15.40
34;CMX;2021-02-24;12.08;15.20;-0.40 (-2.56 %);290;4489000000;0;0;15.60;15.70;15.15
35;CMX;2021-02-25;12.08;15.20;0.00 (0.00 %);189.9;2883000000;0;0;15.30;15.35;15.00
36;CMX;2021-02-26;12.00;15.10;-0.10 (-0.66 %);126.7;1918000000;0;0;14.80;15.25;14.80
37;CMX;2021-03-01;12.44;15.65;0.55 (3.64 %);258.1;3992000000;0;0;15.30;15.65;15.20
38;CMX;2021-03-02;12.88;16.20;0.55 (3.51 %);551.8;8864000000;0;0;15.85;16.50;15.65
39;CMX;2021-03-03;13.32;16.75;0.55 (3.40 %);486.4;8072000000;0;0;16.50;16.75;16.30
40;CMX;2021-03-04;12.80;16.10;-0.65 (-3.88 %);256.2;4184000000;0;0;16.70;16.70;15.85
41;CMX;2021-03-05;12.96;16.30;0.20 (1.24 %);215.3;3435000000;0;0;15.85;16.50;15.75
42;CMX;2021-03-08;13.48;16.95;0.65 (3.99 %);528.6;8871000000;0;0;16.30;17.20;16.30
43;CMX;2021-03-09;13.48;16.95;0.00 (0.00 %);331.3;5581000000;0;0;17.00;17.00;16.50
44;CMX;2021-03-10;13.24;16.65;-0.30 (-1.77 %);230.4;3855000000;0;0;17.20;17.20;16.60
45;CMX;2021-03-11;13.44;16.90;0.25 (1.50 %);344.5;5743000000;0;0;16.80;16.95;16.50
46;CMX;2021-03-12;13.32;16.75;-0.15 (-0.89 %);355.7;6007000000;0;0;17.00;17.10;16.60
47;CMX;2021-03-15;13.32;16.75;0.00 (0.00 %);272.5;4553000000;0;0;16.80;16.85;16.55
48;CMX;2021-03-16;13.16;16.55;-0.20 (-1.19 %);254.4;4246000000;0;0;16.85;16.85;16.45
49;CMX;2021-03-17;13.20;16.60;0.05 (0.30 %);201.7;3359000000;0;0;16.55;16.80;16.55
50;CMX;2021-03-18;13.20;16.60;0.00 (0.00 %);290.9;4823000000;0;0;16.80;16.80;16.50
51;CMX;2021-03-19;13.04;16.40;-0.20 (-1.20 %);281.4;4632000000;0;0;16.45;16.55;16.40
52;CMX;2021-03-22;12.88;16.20;-0.20 (-1.22 %);270.7;4421000000;0;0;16.60;16.60;16.00
53;CMX;2021-03-23;12.72;16.00;-0.20 (-1.23 %);251.8;4031000000;0;0;16.10;16.20;15.80
54;CMX;2021-03-24;12.36;15.55;-0.45 (-2.81 %);250.9;3924000000;0;0;15.70;15.95;15.50
55;CMX;2021-03-25;12.24;15.40;-0.15 (-0.96 %);313.6;4795000000;0;0;15.55;15.55;15.00
56;CMX;2021-03-26;12.04;15.15;-0.25 (-1.62 %);253.6;3839000000;0;0;15.10;15.40;14.80
57;CMX;2021-03-29;12.32;15.50;0.35 (2.31 %);140.1;2149000000;0;0;15.20;15.50;15.20
58;CMX;2021-03-30;12.36;15.55;0.05 (0.32 %);155.4;2402000000;0;0;15.60;15.70;15.35
59;CMX;2021-03-31;12.28;15.45;-0.10 (-0.64 %);178.5;2751000000;0;0;15.55;15.55;15.35
60;CMX;2021-04-01;12.48;15.70;0.25 (1.62 %);339.8;5278000000;0;0;15.50;15.70;15.40
61;CMX;2021-04-02;12.52;15.75;0.05 (0.32 %);254;4013000000;0;0;15.80;15.90;15.70
62;CMX;2021-04-05;12.48;15.70;-0.05 (-0.32 %);169.7;2658000000;0;0;15.80;15.80;15.55
63;CMX;2021-04-06;12.40;15.60;-0.10 (-0.64 %);311.3;4860000000;0;0;15.70;15.70;15.55
64;CMX;2021-04-07;12.40;15.60;0.00 (0.00 %);146.1;2274000000;0;0;15.55;15.65;15.50
65;CMX;2021-04-08;12.56;15.80;0.20 (1.28 %);194.2;3063000000;0;0;15.55;15.90;15.55
66;CMX;2021-04-09;12.84;16.15;0.35 (2.22 %);245;3938000000;0;0;15.90;16.25;15.85
67;CMX;2021-04-12;12.88;16.20;0.05 (0.31 %);394;6368000000;0;0;16.20;16.30;16.05
68;CMX;2021-04-13;12.56;15.80;-0.40 (-2.47 %);348.3;5561000000;3.814.146;57.593.604.600;16.20;16.20;15.80
69;CMX;2021-04-14;12.48;15.70;-0.10 (-0.63 %);204.9;3204000000;0;0;15.80;15.80;15.50
70;CMX;2021-04-15;12.16;15.30;-0.40 (-2.55 %);372.1;5739000000;0;0;15.60;15.70;15.30
71;CMX;2021-04-16;11.85;14.90;-0.40 (-2.61 %);284.1;4282000000;0;0;15.20;15.25;14.80
72;CMX;2021-04-19;12.00;15.10;0.20 (1.34 %);123.8;1854000000;0;0;15.00;15.10;14.90
73;CMX;2021-04-20;11.93;15.00;-0.10 (-0.66 %);154.3;2307000000;0;0;15.10;15.10;14.80
74;CMX;2021-04-22;11.29;14.20;-0.80 (-5.33 %);240.8;3507000000;0;0;15.00;15.00;14.20
75;CMX;2021-04-23;11.49;14.45;0.25 (1.76 %);228.1;3224000000;0;0;14.20;14.50;13.95
76;CMX;2021-04-26;11.17;14.05;-0.40 (-2.77 %);102.6;1449000000;0;0;14.50;14.50;14.00
77;CMX;2021-04-27;10.97;13.80;-0.25 (-1.78 %);135;1871000000;0;0;13.70;14.00;13.70
78;CMX;2021-04-28;11.17;14.05;0.25 (1.81 %);145.1;2013000000;0;0;13.80;14.10;13.60
79;CMX;2021-04-29;11.13;14.00;-0.05 (-0.36 %);138.1;1922000000;0;0;14.05;14.05;13.85
80;CMX;2021-05-04;10.81;13.60;-0.40 (-2.86 %);87.1;1185000000;0;0;13.40;13.80;13.35
81;CMX;2021-05-05;11.21;14.10;0.50 (3.68 %);116.6;1632000000;0;0;13.80;14.10;13.80
82;CMX;2021-05-06;11.01;13.85;-0.25 (-1.77 %);92;1280000000;0;0;14.15;14.15;13.80
83;CMX;2021-05-07;10.77;13.55;-0.30 (-2.17 %);147.2;2000000000;0;0;13.70;13.85;13.45
84;CMX;2021-05-10;10.65;13.40;-0.15 (-1.11 %);147.9;1975000000;0;0;13.30;13.45;13.30
85;CMX;2021-05-11;10.93;13.75;0.35 (2.61 %);127.1;1744000000;0;0;13.55;14.00;13.40
86;CMX;2021-05-12;11.13;14.00;0.25 (1.82 %);132.8;1870000000;0;0;13.80;14.20;13.80
87;CMX;2021-05-13;10.97;13.80;-0.20 (-1.43 %);147.5;2064000000;0;0;14.20;14.25;13.80
88;CMX;2021-05-14;10.97;13.80;0.00 (0.00 %);71;980000000;0;0;13.80;14.00;13.70
89;CMX;2021-05-17;10.69;13.45;-0.35 (-2.54 %);130.2;1768000000;0;0;13.80;13.85;13.45
90;CMX;2021-05-18;10.65;13.40;-0.05 (-0.37 %);87.5;1176000000;0;0;13.45;13.55;13.35
91;CMX;2021-05-19;10.73;13.50;0.10 (0.75 %);175.1;2350000000;0;0;13.40;13.60;13.30
92;CMX;2021-05-20;10.97;13.80;0.30 (2.22 %);135.6;1859000000;0;0;13.50;13.90;13.50
93;CMX;2021-05-21;11.73;14.75;0.95 (6.88 %);521.6;7522000000;0;0;13.80;14.75;13.80
94;CMX;2021-05-24;11.81;14.85;0.10 (0.68 %);286.7;4297000000;0;0;15.20;15.45;14.75
95;CMX;2021-05-25;11.29;14.20;-0.65 (-4.38 %);234.2;3382000000;0;0;14.90;14.90;14.15
96;CMX;2021-05-26;11.17;14.05;-0.15 (-1.06 %);222.1;3118000000;0;0;14.10;14.45;13.80
97;CMX;2021-05-27;10.97;13.80;-0.25 (-1.78 %);170.9;2373000000;0;0;13.85;14.00;13.80
98;CMX;2021-05-28;11.05;13.90;0.10 (0.72 %);186.6;2594000000;0;0;13.70;14.00;13.70
99;CMX;2021-05-31;10.97;13.80;-0.10 (-0.72 %);210.1;2892000000;0;0;13.80;14.00;13.65
100;CMX;2021-06-01;10.89;13.70;-0.10 (-0.72 %);168.8;2327000000;0;0;13.80;13.90;13.65
101;CMX;2021-06-02;11.25;14.15;0.45 (3.28 %);235.6;3272000000;0;0;13.70;14.15;13.65
102;CMX;2021-06-03;11.77;14.80;0.65 (4.59 %);268.3;3939000000;0;0;14.90;14.90;14.40
103;CMX;2021-06-04;11.57;14.55;-0.25 (-1.69 %);223.6;3245000000;0;0;14.80;14.80;14.30
104;CMX;2021-06-07;11.73;14.75;0.20 (1.37 %);290.8;4306000000;0;0;14.65;15.00;14.60
105;CMX;2021-06-08;11.37;14.30;-0.45 (-3.05 %);207.7;3029000000;0;0;15.00;15.00;13.85
106;CMX;2021-06-09;11.37;14.30;0.00 (0.00 %);236.2;3365000000;0;0;14.00;14.50;14.00
107;CMX;2021-06-10;12.16;15.30;1.00 (6.99 %);582.6;8697000000;0;0;14.35;15.30;14.20
108;CMX;2021-06-11;12.24;15.40;0.10 (0.65 %);658.5;10376000000;0;0;15.85;16.10;15.30
109;CMX;2021-06-14;12.08;15.20;-0.20 (-1.30 %);279.4;4270000000;0;0;15.45;15.60;15.00
110;CMX;2021-06-15;12.88;16.20;1.00 (6.58 %);1.172.600;18442000000;0;0;15.50;16.25;15.20
111;CMX;2021-06-16;12.48;15.70;-0.50 (-3.09 %);400.6;6361000000;0;0;16.20;16.20;15.50
112;CMX;2021-06-17;13.04;16.40;0.70 (4.46 %);694.2;11241000000;0;0;15.50;16.50;15.50
113;CMX;2021-06-18;12.84;16.15;-0.25 (-1.52 %);642.5;10434000000;0;0;16.40;16.50;16.05
114;CMX;2021-06-21;12.72;16.00;-0.15 (-0.93 %);408.4;6522000000;0;0;15.80;16.15;15.80
115;CMX;2021-06-22;12.68;15.95;-0.05 (-0.31 %);454.1;7226000000;0;0;15.90;16.15;15.55
116;CMX;2021-06-23;12.36;15.55;-0.40 (-2.51 %);404.5;6298000000;0;0;15.90;15.90;15.35
117;CMX;2021-06-24;11.69;14.70;-0.85 (-5.47 %);579.7;8670000000;0;0;15.50;15.50;14.50
118;CMX;2021-06-25;12.00;15.10;0.40 (2.72 %);453.1;6765000000;0;0;14.65;15.20;14.60
119;CMX;2021-06-28;11.89;14.95;-0.15 (-0.99 %);239.4;3584000000;0;0;15.10;15.15;14.80
120;CMX;2021-06-29;12.20;15.35;0.40 (2.68 %);394.9;6043000000;0;0;15.05;15.50;14.95
121;CMX;2021-06-30;12.00;15.10;-0.25 (-1.63 %);172.6;2624000000;0;0;15.35;15.40;15.05
122;CMX;2021-07-01;11.93;15.00;-0.10 (-0.66 %);118.2;1767000000;0;0;15.05;15.25;14.50
123;CMX;2021-07-02;11.81;14.85;-0.15 (-1.00 %);209.7;3110000000;0;0;14.90;15.00;14.70
124;CMX;2021-07-05;11.37;14.30;-0.55 (-3.70 %);176.9;2562000000;2.797.115;38.740.042.750;14.80;14.80;14.10
125;CMX;2021-07-06;11.09;13.95;-0.35 (-2.45 %);257;3655000000;0;0;14.30;14.50;13.95
126;CMX;2021-07-07;11.09;13.95;0.00 (0.00 %);191.4;2622000000;0;0;13.80;13.95;13.10
127;CMX;2021-07-08;11.21;14.10;0.15 (1.08 %);159.8;2253000000;0;0;14.20;14.35;14.00
128;CMX;2021-07-09;10.97;13.80;-0.30 (-2.13 %);174.9;2404000000;0;0;14.00;14.05;13.50
129;CMX;2021-07-12;10.34;13.00;-0.80 (-5.80 %);249.7;3264000000;0;0;13.80;13.80;12.85
130;CMX;2021-07-13;10.65;13.40;0.40 (3.08 %);138.3;1839000000;0;0;13.75;13.75;13.05
131;CMX;2021-07-14;10.65;13.40;0.00 (0.00 %);77.6;1037000000;0;0;13.30;13.50;13.15
132;CMX;2021-07-15;10.85;13.65;0.25 (1.87 %);105.7;1431000000;0;0;13.40;13.65;13.40
133;CMX;2021-07-16;10.77;13.55;-0.10 (-0.73 %);83.8;1136000000;0;0;13.60;13.75;13.40
134;CMX;2021-07-19;10.45;13.15;-0.40 (-2.95 %);125.8;1661000000;0;0;13.20;13.50;13.05
135;CMX;2021-07-20;10.65;13.40;0.25 (1.90 %);92.2;1233000000;0;0;13.15;13.50;13.00
136;CMX;2021-07-21;10.65;13.40;0.00 (0.00 %);49.4;665000000;0;0;13.70;13.70;13.35
137;CMX;2021-07-22;10.69;13.45;0.05 (0.37 %);147.4;1981000000;0;0;13.25;13.60;13.25
138;CMX;2021-07-23;10.57;13.30;-0.15 (-1.12 %);91.7;1229000000;0;0;13.55;13.55;13.30
139;CMX;2021-07-26;11.01;13.85;0.55 (4.14 %);256.7;3485000000;0;0;13.30;13.90;13.25
140;CMX;2021-07-27;11.13;14.00;0.15 (1.08 %);249;3485000000;0;0;13.90;14.30;13.90
141;CMX;2021-07-28;11.05;13.90;-0.10 (-0.71 %);104.7;1458000000;0;0;14.05;14.05;13.85
142;CMX;2021-07-29;10.89;13.70;-0.20 (-1.44 %);220.1;3008000000;0;0;13.95;13.95;13.50
143;CMX;2021-07-30;10.89;13.70;0.00 (0.00 %);176.6;2413000000;0;0;13.75;13.80;13.60
144;CMX;2021-08-02;10.73;13.50;-0.20 (-1.46 %);273.9;3707000000;0;0;13.50;13.65;13.45
145;CMX;2021-08-03;10.57;13.30;-0.20 (-1.48 %);290.4;3877000000;0;0;13.50;13.50;13.30
